team,ID,2023 Valuation,valuation_in_billions
New York Yankees,NYY,$7.13 billion,7.13
Los Angeles Dodgers,LAD,$5.24 billion,5.24
Boston Red Sox,BOS,$5.21 billion,5.21
Chicago Cubs,CHC,$4.69 billion,4.69
San Francisco Giants,SFG,$3.81 billion,3.81
New York Mets,NYM,$2.82 billion,2.82
Atlanta Braves,ATL,$2.75 billion,2.75
Houston Astros,HOU,$2.58 billion,2.58
Philadelphia Phillies,PHI,$2.46 billion,2.46
Los Angeles Angels,LAA,$2.45 billion,2.45
St. Louis Cardinals,STL,$2.44 billion,2.44
Washington Nationals,WSH,$2.18 billion,2.18
Toronto Blue Jays,TOR,$1.97 billion,1.97
Texas Rangers,TEX,$1.93 billion,1.93
San Diego Padres,SDP,$1.87 billion,1.87
Chicago White Sox,CWS,$1.84 billion,1.84
Seattle Mariners,SEA,$1.8 billion,1.8
Baltimore Orioles,BAL,$1.6 billion,1.6
Minnesota Twins,MIN,$1.56 billion,1.56
Milwaukee Brewers,MIL,$1.5 billion,1.5
Detroit Tigers,DET,$1.46 billion,1.46
Cincinnati Reds,CIN,$1.39 billion,1.39
Colorado Rockies,COL,$1.37 billion,1.37
Cleveland Guardians,CLE,$1.36 billion,1.36
Arizona Diamondbacks,ARI,$1.33 billion,1.33
Oakland Athletics,OAK,$1.31 billion,1.31
Pittsburgh Pirates,PIT,$1.26 billion,1.26
Kansas City Royals,KCR,$1.21 billion,1.21
Tampa Bay Rays,TBR,$1.19 billion,1.19
Miami Marlins,MIA,$1.07 billion,1.07
