ID,team,valuation_in_billions
DAL,Dallas Cowboys,9
NE,New England Patriots,7
LA,Los Angeles Rams,6.9
NYG,New York Giants,6.8
CHI,Chicago Bears,6.3
LV,Las Vegas Raiders,6.2
NYJ,New York Jets,6.1
WAS,Washington Commanders,6.05
SF,San Francisco 49ers,6
PHI,Philadelphia Eagles,5.8
MIA,Miami Dolphins,5.7
HOU,Houston Texans,5.5
DEN,Denver Broncos,5.1
SEA,Seattle Seahawks,5
ATL,Atlanta Falcons,4.7
MIN,Minnesota Vikings,4.65
BAL,Baltimore Ravens,4.63
PIT,Pittsburgh Steelers,4.63
CLE,Cleveland Browns,4.62
GB,Green Bay Packers,4.6
TEN,Tennessee Titans,4.4
IND,Indianapolis Colts,4.35
KC,Kansas City Chiefs,4.3
TB,Tampa Bay Buccaneers,4.2
LAC,Los Angeles Chargers,4.15
CAR,Carolina Panthers,4.1
NO,New Orleans Saints,4.08
JAX,Jacksonville Jaguars,4
ARI,Arizona Cardinals,3.8
BUF,Buffalo Bills,3.7
DET,Detroit Lions,3.6
CIN,Cincinnati Bengals,3.5
